Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric,58.175,-55.75625,225,bottom
C2,0.1uF,C_0603_1608Metric,44.175,-54.75625,180,bottom
C3,0.1uF,C_0603_1608Metric,53.675,-48.75625,135,bottom
C4,0.1uF,C_0603_1608Metric,50.925,-60.75625,315,bottom
C5,10uF,C_0603_1608Metric,53.975,-61.10625,45,bottom
C6,15pF,C_0603_1608Metric,48.075,-47.20625,135,bottom
C7,15pF,C_0603_1608Metric,43.975,-51.35625,315,bottom
C8,1uF,C_0603_1608Metric,45.675,-58.25625,180,bottom
C9,100n,C_0603_1608Metric,140.675,-46.75625,90,bottom
C10,100n,C_0603_1608Metric,140.675,-34.25625,270,bottom
D1,1N4148W,D_SOD-123,73.81875,-33.3375,270,bottom
D2,1N4148W,D_SOD-123,92.86875,-33.3375,270,bottom
D3,1N4148W,D_SOD-123,111.91875,-33.3375,270,bottom
D4,1N4148W,D_SOD-123,130.96875,-33.3375,270,bottom
D5,1N4148W,D_SOD-123,152.175,-49.75625,0,bottom
D6,1N4148W,D_SOD-123,45.24375,-64.29375,90,bottom
D7,1N4148W,D_SOD-123,73.81875,-61.9125,270,bottom
D8,1N4148W,D_SOD-123,92.86875,-61.9125,270,bottom
D9,1N4148W,D_SOD-123,111.91875,-61.9125,270,bottom
D10,1N4148W,D_SOD-123,130.96875,-61.9125,270,bottom
D11,1N4148W,D_SOD-123,145.25625,-61.9125,270,bottom
D12,1N4148W,D_SOD-123,45.24375,-80.9625,270,bottom
D13,1N4148W,D_SOD-123,73.81875,-80.9625,270,bottom
D14,1N4148W,D_SOD-123,92.71875,-80.9625,270,bottom
D15,1N4148W,D_SOD-123,111.91875,-80.9625,270,bottom
D16,1N4148W,D_SOD-123,145.25625,-80.9625,270,bottom
D17,1N4148W,D_SOD-123,45.24375,-100.0125,270,bottom
D18,1N4148W,D_SOD-123,73.81875,-100.0125,270,bottom
D19,1N4148W,D_SOD-123,92.86875,-100.0125,270,bottom
D20,1N4148W,D_SOD-123,111.91875,-100.0125,270,bottom
D21,1N4148W,D_SOD-123,128.5875,-104.775,90,bottom
D22,1N4148W,D_SOD-123,145.25625,-100.0125,270,bottom
D23,1N4148W,D_SOD-123,45.24375,-119.0625,270,bottom
D24,1N4148W,D_SOD-123,73.81875,-119.0625,270,bottom
D25,1N4148W,D_SOD-123,92.86875,-119.0625,270,bottom
D26,1N4148W,D_SOD-123,111.91875,-119.0625,270,bottom
D27,1N4148W,D_SOD-123,145.25625,-119.0625,270,bottom
D28,1N4148W,D_SOD-123,45.24375,-138.84375,270,bottom
D29,1N4148W,D_SOD-123,83.34375,-138.1125,270,bottom
D30,1N4148W,D_SOD-123,111.91875,-138.1125,270,bottom
D31,1N4148W,D_SOD-123,128.5875,-142.875,90,bottom
D32,1N4148W,D_SOD-123,145.25625,-138.1125,270,bottom
F1,500mA,Fuse_0603_1608Metric,39.675,-33.25625,180,bottom
FB1,100 @ 100 MHz,L_0805_2012Metric,37.772918,-37.415691,135,bottom
R1,10k,R_0603_1608Metric,44.175,-56.65625,180,bottom
R2,22,R_0603_1608Metric,39.448762,-43.942286,45,bottom
R3,22,R_0603_1608Metric,37.751705,-42.24523,45,bottom
R4,10k,R_0603_1608Metric,59.675,-53.75625,135,bottom
R5,10K,R_0603_1608Metric,144.175,-34.25625,270,bottom
R6,10K,R_0603_1608Metric,144.175,-46.75625,90,bottom
R7,10K,R_0603_1608Metric,142.425,-34.25625,90,bottom
R8,10K,R_0603_1608Metric,142.425,-46.75625,270,bottom
R10,5K1,R_0603_1608Metric,42.675,-35.75625,90,bottom
R11,5K1,R_0603_1608Metric,43.975,-43.35625,45,bottom
U1,USBLC6-2SC6,SOT-23-6,41.075107,-40.618885,225,bottom
U2,ATmega32U4-MU,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,52.175,-54.675489,45,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,45.998223,-49.256429,225,bottom
